"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0.333333333333333 0 0 0 0.333333333333333 0 0 0
"27" 1.33333333333333 0 0 0 1.33333333333333 0 0 0
"28" 3.33333333333333 0 0 0 3.66666666666667 0 0 0
"29" 6.66666666666667 0 0 0 7 0 0 0
"30" 10.3333333333333 0 0 0 11 0 0 0
"31" 12 0 0 0 12.6666666666667 0 0 0
"32" 13 0 0 0 13.6666666666667 0 0 0
"33" 14.3333333333333 0 0 0.333333333333333 15 0 0 0.333333333333333
"34" 15.3333333333333 0 0 5 16 0 0 5
"35" 15.6666666666667 0 0 15.3333333333333 16.6666666666667 0 0 15.3333333333333
"36" 16.3333333333333 0 0 20 18.3333333333333 0 0 20
"37" 17.3333333333333 0.666666666666667 0.666666666666667 24 21 0.666666666666667 0.666666666666667 24
"38" 17.3333333333333 1.33333333333333 1.33333333333333 26.6666666666667 23.6666666666667 1.66666666666667 1.66666666666667 26.6666666666667
"39" 18.3333333333333 1.33333333333333 1.33333333333333 28 30.6666666666667 2.33333333333333 2.33333333333333 28
"40" 18.6666666666667 3 3 29 36.3333333333333 4 4 29.3333333333333
"41" 19 5 5 31 44 6 6 31.3333333333333
"42" 19 5.33333333333333 5.33333333333333 32.6666666666667 51.3333333333333 6.66666666666667 6.66666666666667 33
