"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0.333333333333333 0 0 0 0.333333333333333 0 0 0
"27" 1 0 0 0 1 0 0 0
"28" 3.33333333333333 0 0 0 3.33333333333333 0 0 0
"29" 5.66666666666667 0 0 0 6 0 0 0
"30" 11 0 0 0 11.6666666666667 0 0 0
"31" 13.6666666666667 0 0 0 14.3333333333333 0 0 0
"32" 14.6666666666667 0 0 0 15.3333333333333 0 0 0
"33" 15.3333333333333 0 0 0 16.6666666666667 0 0 0
"34" 16 0 0 6 17.3333333333333 0 0 6
"35" 16.3333333333333 0.333333333333333 0.333333333333333 16 19 0.333333333333333 0.333333333333333 16
"36" 16.6666666666667 0.666666666666667 0.666666666666667 22.3333333333333 19.6666666666667 0.666666666666667 0.666666666666667 22.3333333333333
"37" 17 1.66666666666667 1.66666666666667 25 21.6666666666667 1.66666666666667 1.66666666666667 25
"38" 18.3333333333333 2.66666666666667 2.66666666666667 29 24.3333333333333 3 3 29
"39" 18.3333333333333 3 3 30.6666666666667 26.6666666666667 3.66666666666667 3.66666666666667 30.6666666666667
"40" 18.6666666666667 4 4 31.3333333333333 30.6666666666667 5 5 31.6666666666667
"41" 18.6666666666667 5 5 32.6666666666667 36.3333333333333 6.33333333333333 6.33333333333333 33
