"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0
"27" 0.333333333333333 0 0 0 0.333333333333333 0 0 0
"28" 2.33333333333333 0 0 0 2.33333333333333 0 0 0
"29" 5.66666666666667 0 0 0 6 0 0 0
"30" 7.33333333333333 0 0 0 7.66666666666667 0 0 0
"31" 10.6666666666667 0 0 0 11 0 0 0
"32" 13.6666666666667 0 0 0 14 0 0 0
"33" 14.3333333333333 0 0 0.333333333333333 15 0 0 0.333333333333333
"34" 15.3333333333333 0 0 4.66666666666667 17 0 0 4.66666666666667
"35" 16.3333333333333 0 0 15.6666666666667 18.3333333333333 0 0 15.6666666666667
"36" 16.6666666666667 0 0 20 19 0 0 20
"37" 17 0 0 26.3333333333333 22 0 0 26.3333333333333
"38" 17.3333333333333 0.333333333333333 0.333333333333333 30.6666666666667 23.6666666666667 0.333333333333333 0.333333333333333 30.6666666666667
"39" 18 1 1 33.6666666666667 26.6666666666667 1 1 33.6666666666667
"40" 18.3333333333333 3 3 36.6666666666667 30 3.33333333333333 3.33333333333333 36.6666666666667
"41" 18.3333333333333 3.66666666666667 3.66666666666667 37.6666666666667 32.6666666666667 5 5 37.6666666666667
"42" 18.3333333333333 6 6 37.6666666666667 40 8 8 37.6666666666667
