"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0
"25" 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0
"27" 2 0 0 0 2 0 0 0
"28" 4.33333333333333 0 0 0 4.33333333333333 0 0 0
"29" 6.33333333333333 0 0 0 6.33333333333333 0 0 0
"30" 9.33333333333333 0 0 0 9.33333333333333 0 0 0
"31" 11.3333333333333 0 0 0 11.3333333333333 0 0 0
"32" 13.6666666666667 0 0 0 14 0 0 0
"33" 15.3333333333333 0 0 0 15.6666666666667 0 0 0
"34" 17 0 0 4.66666666666667 18 0 0 4.66666666666667
"35" 17.6666666666667 0 0 12 19.3333333333333 0 0 12
"36" 18 0.333333333333333 0.333333333333333 18.6666666666667 21 0.333333333333333 0.333333333333333 18.6666666666667
"37" 18 0.333333333333333 0.333333333333333 26 22 0.333333333333333 0.333333333333333 26
"38" 18.6666666666667 1.33333333333333 1.33333333333333 29.6666666666667 23 1.66666666666667 1.66666666666667 29.6666666666667
"39" 18.6666666666667 3.66666666666667 3.66666666666667 31.3333333333333 26.3333333333333 4 4 31.3333333333333
"40" 18.6666666666667 4 4 33.6666666666667 30.6666666666667 5 5 33.6666666666667
"41" 18.6666666666667 5 5 35 36.6666666666667 6.33333333333333 6.33333333333333 35
